DIFF;TOF;AGE;R7;R8;R17;R22;R32
1,00;1,00;50,00;0.613;0.1996;0.0425;0.8637;0.2882
0,00;3,00;40,00;0.856;0.8797;0.0599;0.6241;0.0917
0,00;3,00;61,00;0.396;0.08729;0.0748;0.3028;0.3447
0,00;3,00;49,00;0.665;0.3947;0.11;0.7716;0.2397
0,00;3,00;47,00;0.565;0.1044;0.0754;0.3295;0.2094
0,00;3,00;41,00;0.531;0.7228;0.0395;0.6825;0.1408
0,00;2,00;59,00;0.725;0.3523;0.114;0.1904;0.25
1,00;3,00;40,00;0.732;0.5024;0.066;0.4939;0.2449
0,00;1,00;65,00;0.0678;0.8164;0.0365;0.231;0.2509
0,00;3,00;47,00;0.665;0.6503;0.0884;0.2852;0.1179
0,00;2,00;56,00;0.488;0.7719;0.0757;0.1207;0.0968
0,00;3,00;50,00;0.49;0.4604;0.104;0.3529;0.2248
0,00;3,00;36,00;0.164;0.2877;0.0701;0.171;0.0843
0,00;3,00;42,00;0.29;0.05957;0.0481;0.6248;0.2941
0,00;3,00;47,00;1265,00;0.646;0.098;0.8205;0.08195
0,00;3,00;40,00;0.529;0.261;0.1;0.2996;0.2038
0,00;1,00;54,00;1043,00;0.4563;0.124;0.09821;0.06794
0,00;1,00;48,00;0.601;0.6166;0.0435;0.3369;0.2446
1,00;1,00;54,00;0.643;0.6319;0.0702;0.2242;0.3623
1,00;2,00;33,00;0.275;0.2474;0.0215;0.8134;0.2205
0,00;1,00;39,00;2557,00;0.7095;0.106;0.3168;-0.0979
1,00;3,00;59,00;0.12;0.04217;0.0411;10354,00;0.2787
1,00;2,00;28,00;0.315;0.04883;0.033;0.2604;0.2594
1,00;5,00;28,00;0.298;0.3831;0.0462;0.4758;0.3336
0,00;2,00;55,00;0.982;0.4192;0.1;0.3012;0.08178
0,00;2,00;49,00;2557,00;0.5574;0.109;0.4985;-0.0979
0,00;2,00;32,00;0.882;0.09349;0.0787;0.6943;0.4293
0,00;3,00;52,00;0.449;0.5495;0.0958;0.4387;0.1388
0,00;3,00;44,00;0.663;0.04788;0.0672;0.7598;0.2318
1,00;2,00;33,00;0.224;0.2254;0.0371;0.5254;0.4381
0,00;1,00;44,00;0.103;0.06335;0.0772;11342,00;0.1956
1,00;5,00;45,00;0.498;0.06315;0.0439;0.2567;0.4505
1,00;3,00;40,00;0.623;0.6278;0.0759;1199,00;0.4313
1,00;1,00;49,00;0.835;0.3076;0.0622;0.415;0.3582
1,00;3,00;49,00;0.169;0.3423;0.0651;0.2096;0.2923
0,00;1,00;55,00;0.339;0.3832;0.0475;0.5592;0.1268
0,00;3,00;30,00;1089,00;0.05423;0.0439;0.8902;0.2811
0,00;3,00;42,00;0.0721;0.2267;0.099;18534,00;0.3007
0,00;2,00;54,00;0.578;0.6234;0.0608;10154,00;0.1499
1,00;1,00;59,00;0.101;18494,00;0.124;0.6224;0.1305
1,00;5,00;32,00;0.707;0.04217;0.0641;0.6576;0.4505
1,00;2,00;53,00;0.344;0.6998;0.0449;0.3365;0.384
0,00;1,00;44,00;1.01;0.1073;0.044;10392,00;0.2328
1,00;2,00;62,00;0.0886;0.4329;0.0493;0.1859;0.3625
