ID;DIFF
1;1
2;1
3;
4;
5;1
6;
7;1
8;1
9;1
10;
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;
20;1
21;1
22;
23;1
24;
25;1
26;1
27;
28;
29;1
30;
31;1
32;1
33;
34;
35;1
36;
37;1
38;
39;
40;
41;1
42;1
43;1
44;
45;
46;1
47;1
48;1
49;1
50;1
51;1
52;
53;1
54;
55;1
56;
57;
58;
59;1
60;1
61;
62;1
63;1
64;
65;1
66;1
67;
68;
69;1
70;
71;1
72;
73;
74;1
75;
76;
77;1
78;1
79;
80;
81;1
82;1
83;1
84;
85;
86;1
87;
88;1
89;1
90;
91;1
92;
93;
94;1
95;1
96;1
97;1
98;
99;1
100;
101;
