DIFF;TOF;AGE;R7;R8;R17;R22;R32
1;1;49;0.537;0.101;0.0529;0.553;0.2412
0;3;44;0.317;0.4908;0.0471;0.5662;0.3063
0;4;30;0.807;0.5346;0.0579;0.8;0.05513
0;3;53;0.276;0.1343;0.0778;0.835;0.1562
1;1;48;0.541;0.02429;0.0763;0.5122;0.3393
1;2;60;0.907;0.2009;0.0839;13.333;0.2166
0;3;42;0.184;0.2161;0.0548;0.1706;0.2426
0;1;39;0.646;0.05131;0.0807;0.1193;0.2862
1;1;58;0.691;0.4646;0.08;39.397;0.3083
0;3;38;0.426;0.2859;0.0832;0.2053;0.2719
0;3;62;0.154;0.2099;0.0751;0.5733;0.3237
1;3;45;0.201;0.1445;0.0509;0.6683;0.4505
1;2;59;0.44;0.4301;0.0558;0.6929;0.2375
0;3;41;0.398;0.8797;0.0604;0.9781;0.3069
1;3;40;0.794;0.1081;0.0805;0.5783;0.4313
1;2;57;0.0812;0.322;0.0409;10.648;0.3342
1;1;45;0.561;0.2989;0.0572;0.5526;0.2888
0;1;59;0.831;18.494;0.112;0.4289;0.25
0;3;48;1.812;0.2371;0.101;0.2459;-0.0979
1;1;35;0.195;0.1529;0.101;0.1525;0.4313
0;2;47;0.511;0.3792;0.0928;0.7253;0.3776
1;1;54;0.842;0.1405;0.0539;0.5644;0.1578
1;2;57;0.0513;0.4106;0.0596;0.5053;0.4625
0;3;37;0.907;0.3406;0.0647;15.371;0.2548
0;2;54;0.516;0.09926;0.0565;0.7362;0.2338
1;2;38;1.257;0.1702;0.0233;0.3668;0.3085
0;3;31;0.989;0.5661;0.0843;0.4952;0.1661
1;3;31;0.971;0.1658;0.0925;0.1193;0.245
0;2;31;1.102;0.4617;0.0472;0.2805;0.2979
0;3;37;1.163;0.04883;0.112;28.563;0.07445
0;1;34;1.12;0.5288;0.0318;0.1193;0.2508
1;1;27;0.459;0.1334;0.0373;0.517;0.2554
0;2;58;0.29;0.1857;0.11;0.5261;0.1759
0;3;38;0.309;0.1394;0.0661;0.6504;0.1984
1;2;41;0.778;0.1168;0.045;0.542;0.324
0;3;42;1.522;0.2593;0.124;0.9393;0.07277
1;5;41;0.503;0.2443;0.0458;0.2804;0.3813
1;1;50;0.884;0.5055;0.0748;0.1405;0.2505
0;1;39;0.885;0.4756;0.0295;0.6823;0.1394
